Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29612809,12/31/2014 08:41:54 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003,900 BROADWAY,BROADWAY,EAST 19 STREET,EAST 20 STREET,,,ADDRESS,NEW YORK,,N/A,Open,02/14/2015 08:41:54 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/06/2015 12:14:38 PM,05 MANHATTAN,MANHATTAN,987081,208541,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.739073048601554,-73.9897841469436,"(40.739073048601554, -73.9897841469436)"
29599967,12/30/2014 05:25:50 PM,12/31/2014 01:16:57 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10018,350 5 AVENUE,5 AVENUE,EAST 33 STREET,EAST 34 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/13/2015 05:25:50 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,12/31/2014 01:16:57 PM,05 MANHATTAN,MANHATTAN,988505,211918,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74834149921276,-73.98464341134478,"(40.74834149921276, -73.98464341134478)"
29604799,12/30/2014 04:32:59 PM,12/31/2014 01:13:37 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10024,584 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST 88 STREET,WEST 89 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/13/2015 04:32:59 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,12/31/2014 01:13:37 PM,07 MANHATTAN,MANHATTAN,992262,226376,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.788022346806216,-73.97106690494711,"(40.788022346806216, -73.97106690494711)"
29601310,12/30/2014 09:35:00 AM,12/30/2014 10:47:04 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10011,96 8 AVENUE,8 AVENUE,WEST 14 STREET,WEST 15 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/13/2015 09:35:00 AM,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  They will inspect the location according to its normal schedule for sanitary inspections. You can provide more information in a new Service Request by calling 311 or going online to www.nyc.gov/311.,12/30/2014 10:47:04 AM,04 MANHATTAN,MANHATTAN,983652,208966,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74024000096351,-74.00215796083117,"(40.74024000096351, -74.00215796083117)"
29593917,12/30/2014 12:17:46 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10025,2686 BROADWAY,BROADWAY,WEST 102 STREET,WEST 103 STREET,,,ADDRESS,NEW YORK,,N/A,Open,02/13/2015 12:17:46 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/30/2014 10:48:08 AM,07 MANHATTAN,MANHATTAN,992905,230309,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79881676206265,-73.96873982214959,"(40.79881676206265, -73.96873982214959)"
29592940,12/29/2014 10:52:57 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10023,218 WEST 72 STREET,WEST 72 STREET,BROADWAY,WEST END AVENUE,,,ADDRESS,NEW YORK,,N/A,Open,02/12/2015 10:52:57 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/05/2015 03:33:58 PM,07 MANHATTAN,MANHATTAN,989032,223113,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7790686179393,-73.98273346797001,"(40.7790686179393, -73.98273346797001)"
29596926,12/29/2014 08:12:40 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10023,BROADWAY,BROADWAY,WEST 70 STREET,WEST 71 STREET,,,BLOCKFACE,NEW YORK,,N/A,Open,02/12/2015 08:12:40 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,12/30/2014 11:21:28 AM,07 MANHATTAN,MANHATTAN,989214,222528,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77746284694737,-73.98207674651543,"(40.77746284694737, -73.98207674651543)"
29589403,12/28/2014 06:06:47 PM,12/29/2014 10:42:10 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10018,1372 BROADWAY,BROADWAY,WEST 37 STREET,WEST 38 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/11/2015 06:06:47 PM,The Department of Health and Mental Hygiene could not confirm a case of food poisoning because this complaint was submitted anonymously.  The location will be inspected according to its normal schedule for sanitary inspections.,12/29/2014 10:42:10 AM,05 MANHATTAN,MANHATTAN,987726,213349,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75226957345533,-73.98745413638214,"(40.75226957345533, -73.98745413638214)"
29591360,12/28/2014 05:09:23 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10038,64 FULTON STREET,FULTON STREET,CLIFF STREET,RYDERS ALLEY,,,ADDRESS,NEW YORK,,N/A,Open,02/11/2015 05:09:23 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/05/2015 03:17:28 PM,01 MANHATTAN,MANHATTAN,982826,197500,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.708768518071146,-74.00513626321822,"(40.708768518071146, -74.00513626321822)"
29587988,12/28/2014 11:39:36 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10002,251 EAST HOUSTON STREET,EAST HOUSTON STREET,NORFOLK STREET,SUFFOLK STREET,,,ADDRESS,NEW YORK,,N/A,Open,02/11/2015 11:39:36 AM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/05/2015 03:22:55 PM,03 MANHATTAN,MANHATTAN,988343,202282,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72189313205993,-73.98523394278823,"(40.72189313205993, -73.98523394278823)"
29583768,12/27/2014 07:17:23 PM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10017,89 EAST 42 STREET,EAST 42 STREET,PARK AVENUE,DE PEW PLACE,,,ADDRESS,NEW YORK,,N/A,Open,02/10/2015 07:17:23 PM,The Health Department’s Office of Environmental Investigations has determined this case was an isolated incident. The Department’s Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/02/2015 01:45:22 PM,05 MANHATTAN,MANHATTAN,990455,213288,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75210064998796,-73.97760446290988,"(40.75210064998796, -73.97760446290988)"
29585867,12/27/2014 01:39:05 PM,01/15/2015 03:05:03 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10016,6 EAST 32 STREET,EAST 32 STREET,5 AVENUE,MADISON AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,01/10/2015 09:45:17 AM,The Department of Health and Mental Hygiene has investigated the complaint and there were minor violation of rules and regulations.  A Notice Of Violation was not issued and a Reinspection is not required.,01/15/2015 03:04:24 PM,05 MANHATTAN,MANHATTAN,988390,211414,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74695820052484,-73.98505876453044,"(40.74695820052484, -73.98505876453044)"
29583765,12/27/2014 09:45:17 AM,01/15/2015 03:05:03 PM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10016,6 EAST 32 STREET,EAST 32 STREET,5 AVENUE,MADISON AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,01/10/2015 09:45:17 AM,The Department of Health and Mental Hygiene has investigated the complaint and there were minor violation of rules and regulations.  A Notice Of Violation was not issued and a Reinspection is not required.,01/15/2015 03:05:04 PM,05 MANHATTAN,MANHATTAN,988390,211414,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74695820052484,-73.98505876453044,"(40.74695820052484, -73.98505876453044)"
