,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,GRADE,SCORE,MONTH,STREET_ADDRESS
0,30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVE,10462,Bakery,A,2.0,3,1007 MORRIS PARK AVE
1,30112340,WENDY'S,BROOKLYN,469       ,FLATBUSH AVENUE                                   ,11225,Hamburgers,A,8.0,12,469        FLATBUSH AVENUE                                   
6,30112340,WENDY'S,BROOKLYN,469       ,FLATBUSH AVENUE                                   ,11225,Hamburgers,B,23.0,7,469        FLATBUSH AVENUE                                   
12,30191841,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351       ,WEST   57 STREET                                  ,10019,Irish,A,2.0,9,351        WEST   57 STREET                                  
13,40356018,RIVIERA CATERER,BROOKLYN,2780,STILLWELL AVENUE,11224,American ,A,5.0,6,2780 STILLWELL AVENUE
14,40356151,BRUNOS ON THE BOULEVARD,QUEENS,8825,ASTORIA BOULEVARD,11369,American ,B,16.0,11,8825 ASTORIA BOULEVARD
24,40356151,BRUNOS ON THE BOULEVARD,QUEENS,8825,ASTORIA BOULEVARD,11369,American ,A,10.0,5,8825 ASTORIA BOULEVARD
33,40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,Delicatessen,A,10.0,5,7114 AVENUE U
36,40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,Delicatessen,A,10.0,1,7114 AVENUE U
39,40356649,REGINA CATERERS,BROOKLYN,6409      ,11 AVENUE                                         ,11219,American ,A,12.0,7,6409       11 AVENUE                                         
42,40356731,TASTE THE TROPICS ICE CREAM,BROOKLYN,1839,NOSTRAND AVENUE,11226,"Ice Cream, Gelato, Yogurt, Ices",A,12.0,7,1839 NOSTRAND AVENUE
45,40357217,WILD ASIA,BRONX,2300,SOUTHERN BOULEVARD,10460,American ,A,11.0,5,2300 SOUTHERN BOULEVARD
50,40358429,MAY MAY KITCHEN,BROOKLYN,1269      ,SUTTER AVENUE                                     ,11208,Chinese,B,21.0,9,1269       SUTTER AVENUE                                     
63,40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1         ,EAST   66 STREET                                  ,10065,American ,A,3.0,5,1          EAST   66 STREET                                  
68,40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,Jewish/Kosher,A,11.0,11,705 KINGS HIGHWAY
75,40360076,CARVEL ICE CREAM,BROOKLYN,203       ,CHURCH AVENUE                                     ,11218,"Ice Cream, Gelato, Yogurt, Ices",A,2.0,2,203        CHURCH AVENUE                                     
76,40361322,CARVEL ICE CREAM,QUEENS,26515,HILLSIDE AVENUE,11004,"Ice Cream, Gelato, Yogurt, Ices",A,9.0,10,26515 HILLSIDE AVENUE
83,40361521,GLORIOUS FOOD,MANHATTAN,522       ,EAST   74 STREET                                  ,10021,American ,A,12.0,9,522        EAST   74 STREET                                  
93,40361606,THE MOVABLE FEAST,BROOKLYN,284       ,PROSPECT PARK WEST                                ,11215,American ,A,11.0,11,284        PROSPECT PARK WEST                                
96,40361618,SAL'S DELI,QUEENS,12908,20 AVENUE,11356,Delicatessen,A,12.0,8,12908 20 AVENUE
100,40361708,BULLY'S DELI,MANHATTAN,759,BROADWAY,10003,Delicatessen,A,12.0,1,759 BROADWAY
103,40361998,STEVE CHU'S DELI & GROCERY,QUEENS,3406,10 STREET,11106,Delicatessen,A,3.0,3,3406 10 STREET
104,40362098,HARRIET'S KITCHEN,MANHATTAN,502,AMSTERDAM AVENUE,10024,Chicken,A,10.0,9,502 AMSTERDAM AVENUE
106,40362098,HARRIET'S KITCHEN,MANHATTAN,502,AMSTERDAM AVENUE,10024,Chicken,A,13.0,3,502 AMSTERDAM AVENUE
114,40362264,P & S DELI GROCERY,MANHATTAN,730       ,COLUMBUS AVENUE                                   ,10025,American ,B,26.0,9,730        COLUMBUS AVENUE                                   
125,40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,American ,A,9.0,4,18 WEST HOUSTON STREET
127,40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,Chinese,A,10.0,4,10305 37 AVENUE
129,40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,Turkish,A,9.0,9,60 WALL STREET
139,40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195       ,EAST   56 STREET                                  ,11203,Caribbean,A,2.0,5,195        EAST   56 STREET                                  
140,40363093,CARVEL ICE CREAM,BRONX,1006      ,EAST  233 STREET                                  ,10466,"Ice Cream, Gelato, Yogurt, Ices",A,10.0,4,1006       EAST  233 STREET                                  
142,40363098,DUNKIN' DONUTS,BROOKLYN,56        ,COURT STREET                                      ,11201,Donuts,A,8.0,12,56         COURT STREET                                      
144,40363098,DUNKIN' DONUTS,BROOKLYN,56        ,COURT STREET                                      ,11201,Donuts,A,9.0,1,56         COURT STREET                                      
145,40363151,OLIVE'S,MANHATTAN,120       ,PRINCE STREET                                     ,10012,Sandwiches/Salads/Mixed Buffet,A,11.0,10,120        PRINCE STREET                                     
155,40363298,CAFE METRO,MANHATTAN,625 ,8 AVENUE,10018,American ,A,12.0,6,625  8 AVENUE
158,40363298,CAFE METRO,MANHATTAN,625 ,8 AVENUE,10018,American ,A,9.0,1,625  8 AVENUE
162,40363333,TONY'S DELI,QUEENS,1069      ,WYCKOFF AVENUE                                                                                      ,11385,Delicatessen,A,11.0,5,1069       WYCKOFF AVENUE                                                                                      
165,40363426,LEXLER DELI,MANHATTAN,405       ,LEXINGTON AVENUE                                  ,10174,Sandwiches/Salads/Mixed Buffet,A,3.0,2,405        LEXINGTON AVENUE                                  
170,40363565,HOT BAGELS,QUEENS,7905,METROPOLITAN AVENUE,11379,Bagels/Pretzels,A,10.0,9,7905 METROPOLITAN AVENUE
178,40363565,HOT BAGELS,QUEENS,7905,METROPOLITAN AVENUE,11379,Bagels/Pretzels,B,23.0,1,7905 METROPOLITAN AVENUE
182,40363590,SNACK TIME GRILL,QUEENS,8769,LEFFERTS BOULEVARD,11418,American ,A,7.0,2,8769 LEFFERTS BOULEVARD
184,40363630,LORENZO & MARIA'S,MANHATTAN,1418,THIRD AVENUE,10028,Continental,A,9.0,6,1418 THIRD AVENUE
186,40363644,DOMINO'S ,MANHATTAN,464,3 AVENUE,10016,Pizza,A,3.0,8,464 3 AVENUE
187,40363644,DOMINO'S ,MANHATTAN,464,3 AVENUE,10016,Pizza,A,11.0,3,464 3 AVENUE
195,40363685,BERKELEY,MANHATTAN,437       ,MADISON AVENUE                                    ,10022,American ,A,9.0,6,437        MADISON AVENUE                                    
197,40363744,SONNY'S HEROS,BROOKLYN,1031      ,EAST   92 STREET                                  ,11236,American ,A,0.0,2,1031       EAST   92 STREET                                  
198,40363834,CARVEL ICE CREAM,STATEN ISLAND,1111      ,HYLAN BOULEVARD                                   ,10305,"Ice Cream, Gelato, Yogurt, Ices",A,12.0,4,1111       HYLAN BOULEVARD                                   
202,40363920,NEW GOLDEN BILLION,BROOKLYN,976,RUTLAND ROAD,11212,Chinese,A,13.0,4,976 RUTLAND ROAD
206,40363945,DOMINO'S,MANHATTAN,148,WEST   72 STREET,10023,Pizza,A,13.0,12,148 WEST   72 STREET
216,40363945,DOMINO'S,MANHATTAN,148,WEST   72 STREET,10023,Pizza,B,18.0,5,148 WEST   72 STREET
222,40364179,SPOONBREAD TOO,MANHATTAN,364       ,WEST  110 STREET                                  ,10025,Soul Food,B,20.0,9,364        WEST  110 STREET                                  
228,40364179,SPOONBREAD TOO,MANHATTAN,364       ,WEST  110 STREET                                  ,10025,Soul Food,B,23.0,2,364        WEST  110 STREET                                  
234,40364220,KOSHER BAGEL HOLE,BROOKLYN,1423,AVENUE J,11230,Jewish/Kosher,A,10.0,12,1423 AVENUE J
238,40364262,TERMINAL CAFE/YANKEE CLIPPER,QUEENS,0,GUARDIA AIRPORT PARKING,11371,American ,A,9.0,5,0 GUARDIA AIRPORT PARKING
240,40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73        ,NEW DORP PLAZA                                    ,10306,Delicatessen,A,12.0,11,73         NEW DORP PLAZA                                    
246,40364296,HAPPY GARDEN,BRONX,277       ,EAST KINGSBRIDGE ROAD                             ,10458,Chinese,A,10.0,3,277        EAST KINGSBRIDGE ROAD                             
251,40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203       ,GIFFORDS LANE                                     ,10308,Delicatessen,C,39.0,9,203        GIFFORDS LANE                                     
263,40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203       ,GIFFORDS LANE                                     ,10308,Delicatessen,A,12.0,3,203        GIFFORDS LANE                                     
276,40364304,TEXAS ROTISSERIE,MANHATTAN,94,FULTON STREET,10038,Chicken,C,48.0,7,94 FULTON STREET
283,40364305,PHILADELHIA GRILLE EXPRESS,BROOKLYN,10004     ,4 AVENUE                                          ,11209,Italian,A,12.0,2,10004      4 AVENUE                                          
285,40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178 ,BROADWAY,11211,Steak,A,12.0,3,178  BROADWAY
288,40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,American ,B,24.0,10,1 EAST   60 STREET
296,40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,American ,A,4.0,5,1 EAST   60 STREET
306,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,American ,A,12.0,5,21 WEST   52 STREET
319,40364363,MANHEM CLUB,BRONX,658,CLARENCE AVE,10465,American ,A,5.0,6,658 CLARENCE AVE
320,40364373,ISLE OF CAPRI RESTURANT,MANHATTAN,1028      ,3 AVENUE                                          ,10065,Italian,A,13.0,9,1028       3 AVENUE                                          
323,40364373,ISLE OF CAPRI RESTURANT,MANHATTAN,1028      ,3 AVENUE                                          ,10065,Italian,A,10.0,2,1028       3 AVENUE                                          
325,40364389,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003,American ,A,10.0,10,45 EAST   18 STREET
327,40364404,POLISH NATIONAL HOME,BROOKLYN,261       ,DRIGGS AVENUE                                     ,11222,Polish,A,2.0,5,261        DRIGGS AVENUE                                     
329,40364439,SEVILLA RESTAURANT,MANHATTAN,62,CHARLES STREET,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,11.0,5,62 CHARLES STREET
